,doi,name,description
0,10.1039/d0dt01177k,Facile synthesis of Mn-doped NiCo 2 O 4 nanoparticles with enhanced electrochemical performance for a battery-type supercapacitor electrode,We report the synthesis of manganese-doped nickel cobalt oxide (Mn-doped NiCo2O4) nanoparticles (NPs) by an efficient hydrothermal and subsequent calcination route. The material exhibits a homogeneous
1,10.3390/nano10071292,Synthesis and Characterization of a NiCo2O4@NiCo2O4 Hierarchical Mesoporous Nanoflake Electrode for Supercapacitor Applications,"In this study, we synthesized binder-free NiCo2O4@NiCo2O4 nanostructured materials on nickel foam (NF) by combined hydrothermal and cyclic voltammetry depos"
2,10.1039/d0dt02021d,A hybrid NiCo 2 O 4 @NiMoO 4 structure for overall water splitting and excellent hybrid energy storage,"In this study, a two-step hydrothermal method is used to prepare NiCo2O4@NiMoO4 nanoscale materials for periodic stability supercapacitors. The synthesized product can be directly used as the electrod"
3,10.1016/j.jcis.2021.08.151,Molybdenum doped induced amorphous phase in cobalt acid nickel for supercapacitor and oxygen evolution reaction,"Reasonable structural design and metal-doping play significant roles in the optimization of electrochemical energy storage and conversion. Herein, in situ growth of Molybdenum-doped amorphous cobalt a"
4,10.1007/s40820-020-00462-w,NiCo2O4 Nano-/Microstructures as High-Performance Biosensors: A Review,"HighlightsVarious synthetic methods for the synthesis of NiCo2O4 nano-/microstructures in bare, doped, and composite/hybrid forms are reviewed.Currents status and development prospects of NiCo2O4 nano"
5,10.1016/j.jcis.2021.12.049,Regulation of morphology and electronic configuration of NiCo2O4 by aluminum doping for high performance supercapacitors,Morphology engineering and element doping are two effective strategies to boost the capacitive performance of electroactive materials. The morphology control through doping process is conducive to sim
6,10.1039/d1ra09139e,Hexadecyl trimethyl ammonium bromide assisted growth of NiCo 2 O 4 @reduced graphene oxide/ nickel foam nanoneedle arrays with enhanced performance for supercapacitor electrodes,NiCo2O4@reduced graphene oxide (rGO)/nickel foam (NF) composites were prepared via a hydrothermal method followed by annealing assisted by hexadecyl trimethyl ammonium bro
7,10.1021/acsami.0c16221,Fabrication of a High-Energy Flexible All-Solid-State Supercapacitor Using Pseudocapacitive 2D-Ti3C2T x ‑MXene and Battery-Type Reduced Graphene Oxide/Nickel–Cobalt Bimetal Oxide Electrode Materials,"Owing to excellent metallic conductivity, hydrophilic surfaces, and surface redox properties, a two-dimensional (2D) metal carbide of Ti3C2Tx-MXene could serve "
8,10.1039/d0ra07620a,Hierarchically self-assembled NiCo 2 O 4 nanopins as a high-performance supercapacitor cathodic material: a morphology controlled study,"In this study, 3D hierarchically self-assembled NiCo2O4 nanopins were synthesized by a morphology controlled hydrothermal method. Structure, morphology, and composition of the sa"
9,10.1002/smll.202004188,In Situ Growth of 2D Ultrathin NiCo2O4 Nanosheet Arrays on Ni Foam for High Performance and Flexible Solid‐State Supercapacitors,"In order to further overcome the shortage of electrodes with additive/binder and modulate the structure of NiCo2 O4 for supercapacitors, ultrathin NiCo2 O4 "
